instance,eval,gs,nc,ne,ps,xi
RC1_2_3,3010.55,10,0.4,0.2,25,0.2
RC2_10_5,26631.23,10,0.8,0.2,5,0.8
C2_2_8,1810.05,10,0.1,0.1,25,0.2
RC2_8_4,11559.34,10,0.8,0.2,5,0.4
C2_10_7,16857.27,10,0.6,0.2,5,0.6
R2_10_3,25994.6,10,0.2,0.8,5,0.4
C2_10_10,15974.45,20,0.6,0.2,5,0.8
R2_8_3,18198.2,10,0.6,0.6,5,0.4
C1_2_5,2686.0,70,0.8,0.2,5,0.4
RC1_4_2,8021.57,10,0.6,0.4,5,0.6
R2_2_10,2548.97,10,0.2,0.2,15,0.4
R2_4_5,6649.93,10,0.4,0.2,5,0.2
R1_10_8,44340.25,10,0.2,0.4,5,0.6
RC1_10_10,45718.06,10,0.4,0.6,5,0.6
R1_8_5,34968.37,10,0.1,0.8,5,0.4
R2_8_7,17272.61,10,0.6,0.8,5,0.4
R1_2_4,3072.6,10,0.1,0.2,15,0.2
C1_2_4,2617.37,10,0.4,0.2,45,0.4
C1_6_5,14035.0,20,0.8,0.6,5,0.4
R1_2_2,3921.55,10,0.2,0.4,15,0.4
R2_8_1,25693.32,10,0.8,0.2,5,0.8
R2_4_4,4254.43,20,0.1,0.2,15,0.8
C1_4_3,6905.38,10,0.2,0.2,15,0.2
RC2_10_2,25948.04,10,0.1,0.8,5,0.2
R1_8_6,32168.5,20,0.4,0.8,5,0.1
RC1_6_7,16592.04,10,0.4,0.8,5,0.2
C2_10_4,16546.01,10,0.6,0.4,5,0.4
C2_10_9,16821.2,10,0.8,0.2,5,0.2
R1_2_8,2946.71,10,0.4,0.4,25,0.6
RC1_10_7,46834.07,10,0.2,0.6,5,0.4
RC2_10_1,29586.21,10,0.2,0.4,5,0.8
R1_4_5,9281.97,10,0.2,0.4,5,0.4
C1_6_10,13686.39,20,0.8,0.4,5,0.4
C1_2_6,2686.0,70,0.8,0.2,5,0.4
RC1_2_7,3184.34,10,0.1,0.1,15,0.2
RC2_2_5,2481.87,20,0.1,0.2,35,0.4
R2_6_2,13340.58,10,0.8,0.6,5,0.2
R2_2_5,3064.6,40,0.8,0.2,15,0.8
C1_10_7,41062.0,20,0.2,0.6,5,0.1
C2_4_6,3846.14,10,0.6,0.2,15,0.2
