instance,gs,nc,ne,ps,xi
R106.txt,40.0,0.4,0.47,25.0,0.6
R208.txt,90.0,0.37,0.47,35.0,0.8
C207.txt,10.0,0.1,0.4,25.0,0.6
RC206.txt,20.0,0.37,0.13,25.0,0.53
R110.txt,10.0,0.13,0.23,45.0,0.47
C205.txt,10.0,0.1,0.4,25.0,0.6
RC207.txt,10.0,0.17,0.33,45.0,0.53
RC201.txt,20.0,0.2,0.1,35.0,0.43
R107.txt,20.0,0.4,0.2,25.0,0.6
R206.txt,40.0,0.23,0.4,25.0,0.53
R112.txt,16.0,0.23,0.2,38.0,0.3
RC108.txt,20.0,0.33,0.23,35.0,0.53
C107.txt,10.0,0.1,0.4,25.0,0.6
C206.txt,10.0,0.1,0.4,25.0,0.6
R210.txt,20.0,0.2,0.2,35.0,0.57
RC104.txt,40.0,0.3,0.4,25.0,0.67
C201.txt,10.0,0.1,0.4,25.0,0.6
R103.txt,20.0,0.2,0.1,35.0,0.43
RC208.txt,20.0,0.53,0.17,15.0,0.6
RC202.txt,20.0,0.53,0.17,15.0,0.6
R102.txt,13.0,0.43,0.43,35.0,0.8
R209.txt,40.0,0.37,0.33,25.0,0.6
C103.txt,90.0,0.33,0.47,31.0,0.67
R201.txt,20.0,0.33,0.23,35.0,0.53
R111.txt,40.0,0.37,0.33,28.0,0.53
C104.txt,10.0,0.33,0.53,31.0,0.67
RC101.txt,10.0,0.13,0.3,45.0,0.47
C202.txt,10.0,0.1,0.4,25.0,0.6
C208.txt,10.0,0.1,0.4,25.0,0.6
C109.txt,10.0,0.1,0.4,25.0,0.6
C105.txt,10.0,0.1,0.4,25.0,0.6
R108.txt,90.0,0.3,0.27,28.0,0.67
R205.txt,20.0,0.4,0.2,25.0,0.6
C203.txt,10.0,0.1,0.4,25.0,0.6
R211.txt,20.0,0.47,0.27,15.0,0.73
R202.txt,20.0,0.37,0.17,25.0,0.67
R203.txt,40.0,0.37,0.27,28.0,0.47
RC102.txt,20.0,0.47,0.23,11.0,0.73
C101.txt,10.0,0.1,0.4,25.0,0.6
RC204.txt,10.0,0.27,0.33,25.0,0.4
RC205.txt,20.0,0.67,0.23,15.0,0.6
RC103.txt,20.0,0.53,0.23,15.0,0.67
RC105.txt,10.0,0.33,0.4,25.0,0.47
RC203.txt,20.0,0.37,0.27,25.0,0.6
C102.txt,10.0,0.1,0.4,25.0,0.6
R101.txt,40.0,0.3,0.33,31.0,0.47
C106.txt,10.0,0.1,0.4,25.0,0.6
RC107.txt,50.0,0.5,0.27,31.0,0.53
R104.txt,50.0,0.4,0.33,28.0,0.6
C204.txt,10.0,0.1,0.4,25.0,0.6
R109.txt,10.0,0.5,0.33,25.0,0.4
R207.txt,10.0,0.17,0.23,45.0,0.33
C108.txt,10.0,0.1,0.4,25.0,0.6
R204.txt,10.0,0.1,0.3,38.0,0.73
RC106.txt,40.0,0.37,0.33,25.0,0.6
R105.txt,10.0,0.27,0.33,25.0,0.33
C1_4_4.txt,10.0,0.1,0.4,25.0,0.6
C1_10_6.txt,20.0,0.5,0.6,5.0,0.6
R1_4_8.txt,10.0,0.53,0.6,5.0,0.53
C2_10_7.txt,10.0,0.6,0.53,5.0,0.47
C1_4_1.txt,10.0,0.13,0.53,25.0,0.53
