instance,gs,nc,ne,ps,xi
C1_4_4.txt,10,0.56,0.47,7,0.49
C1_10_6.txt,11,0.42,0.51,6,0.2
R1_4_8.txt,9,0.56,0.65,5,0.52
C2_10_7.txt,10,0.32,0.53,5,0.69
C1_4_1.txt,31,0.61,0.32,12,0.32
R1_6_10.txt,10,0.25,0.6,5,0.5
RC2_4_2.txt,9,0.51,0.55,4,0.48
RC2_4_4.txt,10,0.52,0.56,4,0.48
C2_10_5.txt,8,0.54,0.64,5,0.58
RC1_4_2.txt,9,0.26,0.61,5,0.49
C2_2_9.txt,13,0.45,0.29,12,0.48
RC1_2_7.txt,10,0.54,0.44,6,0.49
C1_2_3.txt,18,0.47,0.28,12,0.48
RC2_4_5.txt,9,0.51,0.42,4,0.49
C1_6_5.txt,18,0.46,0.39,9,0.25
RC1_4_7.txt,9,0.37,0.62,5,0.31
R1_10_2.txt,10,0.25,0.6,5,0.51
RC2_6_4.txt,10,0.52,0.58,4,0.48
C2_10_1.txt,9,0.49,0.6,4,0.67
C1_8_4.txt,10,0.25,0.6,5,0.53
R1_8_6.txt,10,0.25,0.6,5,0.51
RC1_4_5.txt,9,0.34,0.62,5,0.32
C2_6_1.txt,10,0.54,0.45,6,0.49
RC2_6_9.txt,10,0.52,0.59,4,0.48
R2_2_6.txt,13,0.45,0.29,12,0.48
RC1_6_6.txt,10,0.25,0.6,5,0.52
RC1_2_9.txt,10,0.54,0.44,6,0.49
R1_6_1.txt,10,0.26,0.61,5,0.47
R1_4_7.txt,9,0.25,0.58,5,0.56
R2_6_4.txt,10,0.52,0.58,4,0.48
RC1_6_8.txt,10,0.25,0.6,5,0.52
R1_4_5.txt,9,0.42,0.55,6,0.23
RC1_10_4.txt,9,0.24,0.58,5,0.56
R1_10_4.txt,9,0.24,0.58,5,0.57
C1_2_9.txt,17,0.47,0.28,12,0.48
C1_2_6.txt,41,0.72,0.29,13,0.37
R2_4_5.txt,12,0.54,0.2,8,0.46
R2_10_10.txt,11,0.43,0.54,4,0.74
RC2_6_6.txt,10,0.53,0.59,4,0.48
C1_6_2.txt,17,0.45,0.4,8,0.24
RC2_8_10.txt,9,0.55,0.65,5,0.56
RC2_2_2.txt,13,0.45,0.29,12,0.48
C2_8_2.txt,9,0.25,0.59,5,0.55
C1_6_7.txt,17,0.46,0.39,9,0.25
RC1_10_9.txt,10,0.25,0.6,5,0.52
C2_8_5.txt,9,0.37,0.58,5,0.65
R2_2_3.txt,13,0.45,0.29,12,0.48
R2_6_10.txt,10,0.54,0.61,4,0.49
RC2_8_8.txt,11,0.44,0.54,4,0.74
RC1_4_3.txt,9,0.56,0.65,5,0.54
C2_6_10.txt,10,0.53,0.43,5,0.49
R2_8_10.txt,11,0.44,0.54,4,0.74
RC2_10_1.txt,11,0.43,0.54,4,0.75
RC1_10_8.txt,10,0.25,0.6,5,0.51
C2_6_3.txt,10,0.52,0.44,5,0.49
RC1_6_2.txt,10,0.25,0.6,5,0.52
R1_8_5.txt,10,0.25,0.6,5,0.5
C2_6_6.txt,10,0.53,0.45,6,0.49
R2_8_1.txt,11,0.43,0.54,4,0.75
RC2_4_3.txt,10,0.52,0.56,4,0.48
C1_6_6.txt,18,0.46,0.39,9,0.25
RC1_6_10.txt,10,0.25,0.59,5,0.53
RC2_6_7.txt,10,0.54,0.62,4,0.49
R1_2_1.txt,15,0.57,0.33,8,0.49
C2_2_3.txt,13,0.45,0.29,12,0.48
C1_4_2.txt,18,0.46,0.39,9,0.25
C2_10_4.txt,10,0.53,0.6,4,0.49
RC1_10_1.txt,10,0.25,0.6,5,0.51
C1_2_10.txt,17,0.46,0.28,12,0.48
C2_4_6.txt,10,0.53,0.4,5,0.49
R2_4_1.txt,13,0.58,0.21,7,0.46
