instance,gs,nc,ne,ps,xi
C1_4_4.txt,12.0,0.26,0.21,16.0,0.4
C1_10_6.txt,15.0,0.51,0.54,5.0,0.31
C1_4_1.txt,51.0,0.53,0.34,7.0,0.54
C1_2_3.txt,70.0,0.74,0.29,20.0,0.4
C1_6_5.txt,11.0,0.71,0.39,5.0,0.29
C1_8_4.txt,10.0,0.69,0.49,5.0,0.43
C1_2_9.txt,70.0,0.74,0.29,20.0,0.4
C1_2_6.txt,70.0,0.74,0.4,19.0,0.46
C1_6_2.txt,10.0,0.53,0.27,5.0,0.29
C1_6_7.txt,10.0,0.6,0.3,5.0,0.4
C2_10_7.txt,11.0,0.51,0.4,5.0,0.31
C2_10_5.txt,11.0,0.6,0.43,5.0,0.37
C2_2_9.txt,12.0,0.14,0.2,16.0,0.37
C2_10_1.txt,11.0,0.6,0.43,5.0,0.37
C2_6_1.txt,10.0,0.66,0.17,5.0,0.43
C2_8_2.txt,11.0,0.46,0.34,5.0,0.4
C2_8_5.txt,11.0,0.51,0.31,5.0,0.43
C2_6_10.txt,10.0,0.71,0.16,5.0,0.51
C2_6_3.txt,10.0,0.69,0.23,5.0,0.57
C2_6_6.txt,10.0,0.66,0.16,5.0,0.43
R1_4_8.txt,10.0,0.51,0.43,5.0,0.51
R1_6_10.txt,10.0,0.34,0.63,5.0,0.46
R1_10_2.txt,10.0,0.19,0.66,5.0,0.54
R1_8_6.txt,12.0,0.49,0.6,5.0,0.39
R1_6_1.txt,10.0,0.6,0.63,5.0,0.31
R1_4_7.txt,10.0,0.6,0.49,5.0,0.34
R1_4_5.txt,10.0,0.37,0.39,5.0,0.31
R1_10_4.txt,10.0,0.41,0.6,5.0,0.49
R1_8_5.txt,10.0,0.36,0.57,5.0,0.53
R1_2_1.txt,10.0,0.3,0.29,15.0,0.46
R2_2_6.txt,10.0,0.27,0.39,23.0,0.49
R2_6_4.txt,10.0,0.54,0.51,5.0,0.31
R2_4_5.txt,10.0,0.37,0.43,5.0,0.34
R2_10_10.txt,10.0,0.36,0.49,5.0,0.71
R2_2_3.txt,10.0,0.3,0.29,15.0,0.46
R2_6_10.txt,10.0,0.54,0.4,5.0,0.34
R2_8_10.txt,10.0,0.46,0.6,5.0,0.63
R2_8_1.txt,10.0,0.57,0.54,5.0,0.51
R2_4_1.txt,10.0,0.46,0.41,5.0,0.26
R2_10_7.txt,10.0,0.33,0.63,5.0,0.57
RC1_4_2.txt,10.0,0.57,0.43,5.0,0.34
RC1_2_7.txt,11.0,0.37,0.24,17.0,0.37
RC1_4_7.txt,10.0,0.44,0.2,15.0,0.6
RC1_4_5.txt,14.0,0.46,0.51,5.0,0.43
RC1_6_6.txt,10.0,0.31,0.49,5.0,0.46
RC1_2_9.txt,12.0,0.31,0.23,15.0,0.37
RC1_6_8.txt,10.0,0.57,0.69,5.0,0.46
RC1_10_4.txt,10.0,0.47,0.63,5.0,0.49
RC1_10_9.txt,10.0,0.49,0.6,5.0,0.6
RC1_4_3.txt,10.0,0.63,0.46,5.0,0.43
RC2_4_2.txt,10.0,0.57,0.33,5.0,0.29
RC2_4_4.txt,10.0,0.44,0.2,15.0,0.46
RC2_4_5.txt,14.0,0.33,0.2,12.0,0.54
RC2_6_4.txt,10.0,0.37,0.57,5.0,0.34
RC2_6_9.txt,10.0,0.44,0.6,5.0,0.37
RC2_6_6.txt,10.0,0.66,0.43,5.0,0.37
RC2_8_10.txt,10.0,0.43,0.51,5.0,0.57
RC2_2_2.txt,11.0,0.5,0.2,20.0,0.37
RC2_8_8.txt,10.0,0.57,0.57,5.0,0.49
RC2_10_1.txt,10.0,0.46,0.51,5.0,0.66
