instance,gs,nc,ne,ps,xi
C1_4_4.txt,30,0.36,0.21,22,0.41
C1_10_6.txt,16,0.42,0.47,9,0.24
C1_4_1.txt,38,0.3,0.29,21,0.38
C1_2_3.txt,36,0.31,0.24,24,0.4
C1_6_5.txt,32,0.35,0.32,14,0.45
C1_8_4.txt,8,0.54,0.55,5,0.22
C1_2_9.txt,34,0.33,0.2,26,0.44
C1_2_6.txt,39,0.3,0.27,23,0.39
C1_6_2.txt,28,0.34,0.36,13,0.35
C1_6_7.txt,19,0.43,0.4,10,0.3
C2_10_7.txt,9,0.71,0.22,3,0.29
C2_10_5.txt,11,0.72,0.22,5,0.31
C2_2_9.txt,34,0.34,0.22,26,0.43
C2_10_1.txt,11,0.72,0.23,5,0.31
C2_6_1.txt,22,0.46,0.17,20,0.46
C2_8_2.txt,11,0.72,0.24,5,0.31
C2_8_5.txt,15,0.57,0.2,15,0.43
C2_6_10.txt,20,0.48,0.18,19,0.46
C2_6_3.txt,16,0.54,0.19,16,0.44
C2_6_6.txt,20,0.48,0.18,19,0.46
R1_4_8.txt,19,0.46,0.35,9,0.58
R1_6_10.txt,10,0.51,0.64,4,0.54
R1_10_2.txt,9,0.51,0.69,3,0.46
R1_8_6.txt,9,0.52,0.68,3,0.47
R1_6_1.txt,9,0.51,0.64,4,0.53
R1_4_7.txt,13,0.47,0.45,7,0.63
R1_4_5.txt,12,0.49,0.39,7,0.66
R1_10_4.txt,9,0.51,0.68,3,0.44
R1_8_5.txt,9,0.52,0.67,3,0.48
R1_2_1.txt,38,0.32,0.23,23,0.54
R2_2_6.txt,32,0.35,0.19,27,0.45
R2_6_4.txt,11,0.7,0.28,5,0.28
R2_4_5.txt,18,0.5,0.24,21,0.42
R2_10_10.txt,8,0.5,0.62,2,0.29
R2_2_3.txt,30,0.36,0.17,26,0.46
R2_6_10.txt,11,0.67,0.37,6,0.26
R2_8_10.txt,8,0.61,0.45,4,0.26
R2_8_1.txt,8,0.53,0.55,3,0.36
R2_4_1.txt,30,0.39,0.23,25,0.46
R2_10_7.txt,6,0.56,0.59,1,0.2
RC1_4_2.txt,14,0.48,0.39,7,0.66
RC1_2_7.txt,35,0.33,0.25,24,0.4
RC1_4_7.txt,17,0.49,0.31,9,0.67
RC1_4_5.txt,18,0.48,0.31,9,0.67
RC1_6_6.txt,9,0.51,0.6,4,0.56
RC1_2_9.txt,33,0.34,0.21,25,0.43
RC1_6_8.txt,9,0.5,0.61,4,0.56
RC1_10_4.txt,8,0.52,0.66,3,0.42
RC1_10_9.txt,9,0.52,0.67,3,0.46
RC1_4_3.txt,15,0.48,0.35,8,0.66
RC2_4_2.txt,13,0.65,0.32,12,0.34
RC2_4_4.txt,14,0.55,0.23,18,0.42
RC2_4_5.txt,14,0.59,0.28,16,0.39
RC2_6_4.txt,12,0.7,0.3,6,0.28
RC2_6_9.txt,13,0.7,0.33,8,0.29
RC2_6_6.txt,13,0.69,0.32,9,0.3
RC2_8_10.txt,11,0.69,0.33,6,0.27
RC2_2_2.txt,34,0.33,0.15,27,0.48
RC2_8_8.txt,9,0.64,0.41,4,0.25
RC2_10_1.txt,10,0.67,0.36,5,0.26
