time,maxevals,instance,gs,nc,ne,ps,xi
10,1000,RC1_2_3,20,0.6,0.6,15,0.6
10,1000,RC2_10_5,10,0.6,0.4,5,0.8
10,1000,C2_2_8,10,0.4,0.2,15,0.2
10,1000,RC2_8_4,10,0.4,0.6,5,0.6
10,1000,C2_10_7,10,0.8,0.6,5,0.2
10,1000,R2_10_3,10,0.2,0.8,5,0.8
10,1000,C2_10_10,10,0.6,0.4,5,0.8
10,1000,R2_8_3,10,0.8,0.4,5,0.2
10,1000,C1_2_5,10,0.1,0.4,25,0.6
10,1000,RC1_4_2,10,0.6,0.8,15,0.4
10,1000,R2_2_10,10,0.2,0.2,15,0.4
10,1000,R2_4_5,20,0.8,0.4,15,0.2
10,1000,R1_10_8,10,0.1,0.8,5,0.6
10,1000,RC1_10_10,10,0.1,0.8,5,0.6
10,1000,R1_8_5,10,0.4,0.4,5,0.4
10,1000,R2_8_7,10,0.6,0.6,5,0.8
10,1000,R1_2_4,20,0.4,0.4,15,0.4
10,1000,C1_2_4,10,0.2,0.2,5,0.2
10,1000,C1_6_5,10,0.1,0.4,25,0.6
10,1000,R1_2_2,40,0.8,0.6,5,0.2
10,1000,R2_8_1,10,0.4,0.4,5,0.8
10,1000,R2_4_4,10,0.4,0.6,15,0.6
10,1000,C1_4_3,20,0.4,0.2,15,0.2
10,1000,RC2_10_2,10,0.1,0.2,5,0.8
10,1000,R1_8_6,10,0.8,0.8,5,0.1
10,1000,RC1_6_7,10,0.1,0.1,5,0.6
10,1000,C2_10_4,10,0.1,0.4,5,0.4
10,1000,C2_10_9,10,0.8,0.6,5,0.8
10,1000,R1_2_8,10,0.4,0.4,15,0.8
10,1000,RC1_10_7,10,0.8,0.6,5,0.4
10,1000,RC2_10_1,10,0.8,0.8,5,0.6
10,1000,R1_4_5,10,0.8,0.8,5,0.4
10,1000,C1_6_10,20,0.4,0.8,5,0.4
10,1000,C1_2_6,10,0.1,0.4,25,0.6
10,1000,RC1_2_7,40,0.8,0.4,5,0.8
10,1000,RC2_2_5,70,0.8,0.4,15,0.4
10,1000,R2_6_2,10,0.2,0.8,5,0.2
10,1000,R2_2_5,10,0.4,0.4,25,0.4
10,1000,C1_10_7,10,0.8,0.4,5,0.2
10,1000,C2_4_6,10,0.4,0.2,15,0.8
10,1000,R2_2_6,40,0.8,0.8,5,0.4
10,1000,R2_2_9,10,0.2,0.6,35,0.6
10,1000,RC1_2_8,40,0.4,0.4,15,0.2
10,1000,RC2_6_9,20,0.6,0.4,5,0.8
10,1000,C2_10_2,20,0.1,0.6,5,0.2
10,1000,C1_6_3,10,0.8,0.4,5,0.2
10,1000,RC2_4_5,20,0.4,0.6,15,0.8
10,1000,C2_8_1,20,0.8,0.4,5,0.6
10,1000,C2_8_9,10,0.4,0.4,5,0.2
10,1000,RC2_8_2,10,0.2,0.6,5,0.8
10,1000,R1_4_7,20,0.1,0.8,5,0.4
10,1000,C2_8_7,10,0.6,0.6,5,0.2
10,1000,C1_4_10,10,0.1,0.2,15,0.2
10,1000,C2_4_3,10,0.2,0.4,15,0.6
10,1000,R2_10_9,10,0.8,0.6,5,0.8
10,1000,C1_8_8,20,0.4,0.4,5,0.2
10,1000,RC1_4_7,10,0.2,0.6,5,0.4
