instance,gs,nc,ne,ps,xi
R106.txt,37.0,0.33,0.3,26.0,0.51
R208.txt,65.0,0.36,0.37,29.0,0.63
C207.txt,10.0,0.1,0.4,25.0,0.6
RC206.txt,18.0,0.34,0.2,25.0,0.57
R110.txt,11.0,0.26,0.3,40.0,0.57
C205.txt,10.0,0.1,0.4,25.0,0.6
RC207.txt,11.0,0.27,0.34,40.0,0.6
RC201.txt,20.0,0.21,0.2,30.0,0.56
R107.txt,20.0,0.41,0.26,23.0,0.63
R206.txt,37.0,0.34,0.29,26.0,0.49
R112.txt,14.0,0.21,0.24,40.0,0.44
RC108.txt,20.0,0.26,0.17,33.0,0.57
C107.txt,10.0,0.1,0.4,25.0,0.6
C206.txt,10.0,0.1,0.4,25.0,0.6
R210.txt,20.0,0.31,0.16,33.0,0.53
RC104.txt,37.0,0.29,0.27,26.0,0.54
C201.txt,10.0,0.1,0.4,25.0,0.6
R103.txt,18.0,0.27,0.17,32.0,0.56
RC208.txt,18.0,0.43,0.26,16.0,0.6
RC202.txt,20.0,0.51,0.19,20.0,0.63
R102.txt,12.0,0.33,0.34,33.0,0.6
R209.txt,37.0,0.31,0.31,26.0,0.57
C103.txt,65.0,0.37,0.34,30.0,0.6
R201.txt,20.0,0.23,0.21,30.0,0.5
R111.txt,37.0,0.27,0.3,30.0,0.57
C104.txt,10.0,0.2,0.46,27.0,0.63
RC101.txt,11.0,0.26,0.33,40.0,0.57
C202.txt,10.0,0.1,0.4,25.0,0.6
C208.txt,10.0,0.1,0.4,25.0,0.6
C109.txt,10.0,0.1,0.4,25.0,0.6
C105.txt,10.0,0.1,0.4,25.0,0.6
R108.txt,65.0,0.36,0.26,32.0,0.63
R205.txt,18.0,0.34,0.21,27.0,0.6
C203.txt,10.0,0.1,0.4,25.0,0.6
R211.txt,20.0,0.49,0.19,17.0,0.71
R202.txt,20.0,0.41,0.23,23.0,0.63
R203.txt,40.0,0.31,0.31,27.0,0.54
RC102.txt,17.0,0.44,0.23,16.0,0.57
C101.txt,10.0,0.1,0.4,25.0,0.6
RC204.txt,10.0,0.27,0.37,25.0,0.51
