time,maxevals,instance,gs,nc,ne,ps,xi
1,1,R110,40,0.4,0.4,25,0.4
1,1,R105,40,0.4,0.4,25,0.4
1,1,C106,40,0.4,0.4,25,0.4
1,1,R104,40,0.4,0.4,25,0.4
1,1,C207,40,0.4,0.4,25,0.4
1,1,R112,40,0.4,0.4,25,0.4
1,1,R204,40,0.4,0.4,25,0.4
1,1,C206,40,0.4,0.4,25,0.4
1,1,R206,40,0.4,0.4,25,0.4
1,1,C104,40,0.4,0.4,25,0.4
1,1,C108,40,0.4,0.4,25,0.4
1,1,RC201,40,0.4,0.4,25,0.4
1,1,C201,40,0.4,0.4,25,0.4
1,1,R202,40,0.4,0.4,25,0.4
1,1,RC208,40,0.4,0.4,25,0.4
1,1,RC102,40,0.4,0.4,25,0.4
1,1,RC206,40,0.4,0.4,25,0.4
1,1,RC105,40,0.4,0.4,25,0.4
1,1,RC205,40,0.4,0.4,25,0.4
1,1,RC108,40,0.4,0.4,25,0.4
1,1,R111,40,0.4,0.4,25,0.4
1,1,R108,40,0.4,0.4,25,0.4
1,1,RC207,40,0.4,0.4,25,0.4
1,1,RC204,40,0.4,0.4,25,0.4
1,1,C205,40,0.4,0.4,25,0.4
1,1,C109,40,0.4,0.4,25,0.4
1,1,C203,40,0.4,0.4,25,0.4
1,1,R211,40,0.4,0.4,25,0.4
1,1,RC203,40,0.4,0.4,25,0.4
1,1,C208,40,0.4,0.4,25,0.4
1,1,RC107,40,0.4,0.4,25,0.4
1,1,R203,40,0.4,0.4,25,0.4
1,1,R102,40,0.4,0.4,25,0.4
1,1,C105,40,0.4,0.4,25,0.4
1,1,R201,40,0.4,0.4,25,0.4
1,1,C102,40,0.4,0.4,25,0.4
1,1,R106,40,0.4,0.4,25,0.4
1,1,C101,40,0.4,0.4,25,0.4
1,1,R107,40,0.4,0.4,25,0.4
1,1,C204,40,0.4,0.4,25,0.4
1,1,RC104,40,0.4,0.4,25,0.4
1,1,RC103,40,0.4,0.4,25,0.4
1,1,R103,40,0.4,0.4,25,0.4
1,1,R209,40,0.4,0.4,25,0.4
1,1,R207,40,0.4,0.4,25,0.4
1,1,RC106,40,0.4,0.4,25,0.4
1,1,R109,40,0.4,0.4,25,0.4
1,1,C103,40,0.4,0.4,25,0.4
1,1,C202,40,0.4,0.4,25,0.4
1,1,R101,40,0.4,0.4,25,0.4
1,1,RC202,40,0.4,0.4,25,0.4
1,1,RC101,40,0.4,0.4,25,0.4
1,1,R205,40,0.4,0.4,25,0.4
1,1,R208,40,0.4,0.4,25,0.4
1,1,C107,40,0.4,0.4,25,0.4
1,1,R210,40,0.4,0.4,25,0.4
