time,maxevals,instance,gs,nc,ne,ps,xi
10,1000,R110,10,0.2,0.4,45,0.4
10,1000,R105,10,0.8,0.4,25,0.6
10,1000,C106,10,0.1,0.4,25,0.6
10,1000,R104,70,0.8,0.4,25,0.8
10,1000,C207,10,0.1,0.4,25,0.6
10,1000,R112,20,0.4,0.1,45,0.4
10,1000,R204,10,0.8,0.8,35,0.8
10,1000,C206,10,0.1,0.4,25,0.6
10,1000,R206,40,0.6,0.4,25,0.8
10,1000,C104,10,0.1,0.1,35,0.8
10,1000,C108,10,0.1,0.4,25,0.6
10,1000,RC201,20,0.2,0.2,35,0.4
10,1000,C201,10,0.1,0.4,25,0.6
10,1000,R202,20,0.8,0.1,25,0.4
10,1000,RC208,20,0.2,0.1,5,0.8
10,1000,RC102,10,0.4,0.4,5,0.2
10,1000,RC206,20,0.2,0.4,25,0.6
10,1000,RC105,10,0.6,0.2,25,0.2
10,1000,RC205,20,0.2,0.2,15,0.8
10,1000,RC108,20,0.1,0.1,35,0.1
10,1000,R111,40,0.6,0.2,35,0.4
10,1000,R108,100,0.2,0.8,45,0.8
10,1000,RC207,10,0.1,0.1,45,0.2
10,1000,RC204,10,0.1,0.4,25,0.4
10,1000,C205,10,0.1,0.4,25,0.6
10,1000,C109,10,0.1,0.4,25,0.6
10,1000,C203,10,0.1,0.4,25,0.6
10,1000,R211,20,0.8,0.1,15,0.4
10,1000,RC203,20,0.2,0.1,25,0.8
10,1000,C208,10,0.1,0.4,25,0.6
10,1000,RC107,70,0.2,0.2,35,0.6
10,1000,R203,40,0.1,0.2,35,0.4
10,1000,R102,10,0.1,0.4,35,0.6
10,1000,C105,10,0.1,0.4,25,0.6
10,1000,R201,20,0.1,0.1,35,0.8
10,1000,C102,10,0.1,0.4,25,0.6
10,1000,R106,40,0.1,0.2,25,0.6
10,1000,C101,10,0.1,0.4,25,0.6
10,1000,R107,20,0.8,0.2,25,0.8
10,1000,C204,10,0.1,0.4,25,0.6
10,1000,RC104,40,0.4,0.4,25,0.4
10,1000,RC103,20,0.6,0.2,15,0.6
10,1000,R103,20,0.4,0.4,35,0.8
10,1000,R209,40,0.2,0.2,15,0.2
10,1000,R207,10,0.1,0.4,45,0.8
10,1000,RC106,40,0.2,0.6,25,0.6
10,1000,R109,10,0.1,0.4,25,0.4
10,1000,C103,100,0.1,0.2,35,0.8
10,1000,C202,10,0.1,0.4,25,0.6
10,1000,R101,40,0.1,0.2,45,0.8
10,1000,RC202,20,0.6,0.4,15,0.8
10,1000,RC101,10,0.2,0.2,45,0.4
10,1000,R205,20,0.1,0.2,25,0.4
10,1000,R208,100,0.6,0.4,15,0.6
10,1000,C107,10,0.1,0.4,25,0.6
10,1000,R210,20,0.4,0.1,35,0.4
