instance,gs,nc,ne,ps,xi
R106.txt,40.0,0.38,0.36,29.0,0.52
R208.txt,76.0,0.3,0.36,31.0,0.64
C207.txt,10.0,0.1,0.4,25.0,0.6
RC206.txt,20.0,0.42,0.16,27.0,0.56
R110.txt,12.0,0.18,0.24,43.0,0.48
C205.txt,10.0,0.1,0.4,25.0,0.6
RC207.txt,12.0,0.2,0.3,43.0,0.52
RC201.txt,20.0,0.22,0.18,33.0,0.5
R107.txt,20.0,0.38,0.2,23.0,0.56
R206.txt,40.0,0.28,0.32,29.0,0.48
R112.txt,14.0,0.18,0.22,41.0,0.38
RC108.txt,20.0,0.3,0.18,37.0,0.56
C107.txt,10.0,0.1,0.4,25.0,0.6
C206.txt,10.0,0.1,0.4,25.0,0.6
R210.txt,20.0,0.32,0.18,33.0,0.5
RC104.txt,40.0,0.32,0.32,29.0,0.56
C201.txt,10.0,0.1,0.4,25.0,0.6
R103.txt,20.0,0.32,0.14,33.0,0.5
RC208.txt,18.0,0.52,0.26,13.0,0.56
RC202.txt,20.0,0.52,0.14,19.0,0.6
R102.txt,12.0,0.32,0.42,35.0,0.64
R209.txt,40.0,0.28,0.36,27.0,0.56
C103.txt,76.0,0.38,0.4,31.0,0.64
R201.txt,20.0,0.26,0.18,33.0,0.5
R111.txt,40.0,0.28,0.36,27.0,0.56
C104.txt,10.0,0.24,0.48,29.0,0.64
RC101.txt,12.0,0.18,0.28,43.0,0.48
C202.txt,10.0,0.1,0.4,25.0,0.6
C208.txt,10.0,0.1,0.4,25.0,0.6
C109.txt,10.0,0.1,0.4,25.0,0.6
C105.txt,10.0,0.1,0.4,25.0,0.6
R108.txt,76.0,0.36,0.28,31.0,0.72
R205.txt,20.0,0.44,0.2,27.0,0.6
C203.txt,10.0,0.1,0.4,25.0,0.6
R211.txt,20.0,0.6,0.22,19.0,0.68
R202.txt,20.0,0.34,0.2,27.0,0.6
R203.txt,40.0,0.38,0.36,27.0,0.56
RC102.txt,20.0,0.48,0.2,13.0,0.68
C101.txt,10.0,0.1,0.4,25.0,0.6
RC204.txt,10.0,0.34,0.36,25.0,0.48
RC205.txt,20.0,0.48,0.24,19.0,0.64
RC103.txt,20.0,0.52,0.2,19.0,0.72
RC105.txt,10.0,0.24,0.4,25.0,0.52
RC203.txt,20.0,0.42,0.22,23.0,0.6
C102.txt,10.0,0.1,0.4,25.0,0.6
R101.txt,40.0,0.32,0.32,29.0,0.56
C106.txt,10.0,0.1,0.4,25.0,0.6
RC107.txt,58.0,0.4,0.28,31.0,0.56
R104.txt,46.0,0.3,0.36,27.0,0.6
C204.txt,10.0,0.1,0.4,25.0,0.6
R109.txt,10.0,0.34,0.36,25.0,0.48
R207.txt,12.0,0.34,0.32,43.0,0.44
C108.txt,10.0,0.1,0.4,25.0,0.6
R204.txt,12.0,0.16,0.34,35.0,0.68
RC106.txt,40.0,0.28,0.28,25.0,0.48
R105.txt,10.0,0.2,0.36,25.0,0.44
C1_4_4.txt,10.0,0.16,0.36,23.0,0.56
C1_10_6.txt,18.0,0.42,0.64,7.0,0.5
R1_4_8.txt,10.0,0.44,0.64,5.0,0.52
C2_10_7.txt,10.0,0.64,0.52,5.0,0.4
C1_4_1.txt,10.0,0.18,0.44,23.0,0.5
R1_6_10.txt,10.0,0.44,0.64,5.0,0.64
RC2_4_2.txt,20.0,0.54,0.48,5.0,0.32
RC2_4_4.txt,10.0,0.24,0.48,15.0,0.52
C2_10_5.txt,10.0,0.72,0.48,5.0,0.44
RC1_4_2.txt,10.0,0.44,0.48,15.0,0.56
C2_2_9.txt,40.0,0.42,0.24,25.0,0.4
RC1_2_7.txt,40.0,0.56,0.42,7.0,0.36
C1_2_3.txt,10.0,0.1,0.4,25.0,0.56
RC2_4_5.txt,20.0,0.52,0.52,15.0,0.6
C1_6_5.txt,10.0,0.22,0.44,19.0,0.6
RC1_4_7.txt,10.0,0.4,0.76,5.0,0.48
R1_10_2.txt,10.0,0.2,0.6,5.0,0.72
RC2_6_4.txt,20.0,0.54,0.68,5.0,0.5
C2_10_1.txt,10.0,0.68,0.44,5.0,0.4
C1_8_4.txt,10.0,0.4,0.6,5.0,0.48
R1_8_6.txt,10.0,0.6,0.6,5.0,0.32
RC1_4_5.txt,10.0,0.32,0.72,5.0,0.48
C2_6_1.txt,14.0,0.44,0.36,9.0,0.52
RC2_6_9.txt,20.0,0.5,0.72,5.0,0.38
R2_2_6.txt,40.0,0.56,0.3,7.0,0.44
RC1_6_6.txt,10.0,0.44,0.44,5.0,0.24
RC1_2_9.txt,16.0,0.4,0.3,11.0,0.48
R1_6_1.txt,10.0,0.64,0.52,5.0,0.2
R1_4_7.txt,20.0,0.6,0.52,5.0,0.4
R2_6_4.txt,10.0,0.26,0.36,5.0,0.4
RC1_6_8.txt,10.0,0.6,0.72,5.0,0.38
R1_4_5.txt,10.0,0.48,0.64,5.0,0.48
RC1_10_4.txt,10.0,0.16,0.68,5.0,0.44
R1_10_4.txt,10.0,0.16,0.72,5.0,0.44
C1_2_9.txt,10.0,0.32,0.36,15.0,0.52
C1_2_6.txt,10.0,0.1,0.36,25.0,0.46
R2_4_5.txt,20.0,0.52,0.48,15.0,0.6
R2_10_10.txt,10.0,0.36,0.44,5.0,0.76
RC2_6_6.txt,10.0,0.6,0.4,5.0,0.24
C1_6_2.txt,24.0,0.58,0.68,5.0,0.28
RC2_8_10.txt,10.0,0.56,0.64,5.0,0.4
RC2_2_2.txt,14.0,0.34,0.36,31.0,0.56
C2_8_2.txt,10.0,0.56,0.48,5.0,0.36
C1_6_7.txt,24.0,0.68,0.64,5.0,0.42
RC1_10_9.txt,10.0,0.64,0.56,5.0,0.72
C2_8_5.txt,16.0,0.76,0.48,5.0,0.52
R2_2_3.txt,18.0,0.22,0.38,17.0,0.52
R2_6_10.txt,10.0,0.52,0.44,5.0,0.2
RC2_8_8.txt,10.0,0.22,0.42,5.0,0.3
RC1_4_3.txt,10.0,0.56,0.52,15.0,0.56
C2_6_10.txt,20.0,0.52,0.44,5.0,0.44
R2_8_10.txt,10.0,0.48,0.36,5.0,0.64
RC2_10_1.txt,10.0,0.6,0.56,5.0,0.72
RC1_10_8.txt,10.0,0.38,0.68,5.0,0.6
C2_6_3.txt,14.0,0.48,0.4,9.0,0.52
RC1_6_2.txt,10.0,0.48,0.56,5.0,0.64
R1_8_5.txt,10.0,0.48,0.52,5.0,0.44
C2_6_6.txt,14.0,0.44,0.4,9.0,0.56
R2_8_1.txt,10.0,0.44,0.44,5.0,0.76
RC2_4_3.txt,10.0,0.56,0.28,5.0,0.36
C1_6_6.txt,10.0,0.22,0.48,19.0,0.6
RC1_6_10.txt,10.0,0.52,0.56,5.0,0.4
RC2_6_7.txt,10.0,0.68,0.48,5.0,0.2
R1_2_1.txt,10.0,0.4,0.24,11.0,0.36
C2_2_3.txt,10.0,0.28,0.32,11.0,0.48
C1_4_2.txt,10.0,0.26,0.44,15.0,0.4
C2_10_4.txt,10.0,0.6,0.44,5.0,0.44
RC1_10_1.txt,16.0,0.42,0.64,5.0,0.64
C1_2_10.txt,40.0,0.34,0.24,25.0,0.36
C2_4_6.txt,10.0,0.4,0.4,15.0,0.6
R2_4_1.txt,20.0,0.52,0.56,15.0,0.6
RC1_10_6.txt,10.0,0.22,0.4,5.0,0.58
R2_10_7.txt,10.0,0.14,0.56,5.0,0.72
RC1_2_5.txt,20.0,0.28,0.3,21.0,0.52
C1_8_10.txt,10.0,0.36,0.46,5.0,0.52
R2_2_4.txt,20.0,0.48,0.52,15.0,0.4
C1_10_4.txt,10.0,0.66,0.42,5.0,0.24
R1_2_8.txt,12.0,0.32,0.26,15.0,0.48
R2_8_3.txt,10.0,0.68,0.64,5.0,0.44
R1_6_5.txt,10.0,0.68,0.48,5.0,0.2
C1_10_8.txt,10.0,0.54,0.46,5.0,0.32
C2_6_8.txt,20.0,0.48,0.38,5.0,0.44
R2_4_8.txt,10.0,0.36,0.48,15.0,0.52
R1_8_2.txt,10.0,0.2,0.56,5.0,0.64
C1_8_2.txt,10.0,0.48,0.48,13.0,0.48
RC1_6_3.txt,10.0,0.2,0.3,5.0,0.36
RC2_10_2.txt,10.0,0.16,0.44,5.0,0.72
R1_10_8.txt,10.0,0.16,0.72,5.0,0.48
RC2_6_8.txt,10.0,0.32,0.38,5.0,0.68
R2_10_9.txt,10.0,0.64,0.56,5.0,0.72
R2_6_5.txt,10.0,0.64,0.36,5.0,0.24
RC2_4_1.txt,10.0,0.48,0.36,15.0,0.56
C2_4_4.txt,20.0,0.54,0.52,5.0,0.4
R1_2_5.txt,10.0,0.16,0.36,25.0,0.56
R2_8_7.txt,10.0,0.56,0.6,5.0,0.6
R1_2_10.txt,40.0,0.64,0.42,7.0,0.36
RC2_10_3.txt,10.0,0.22,0.76,5.0,0.44
C1_10_3.txt,16.0,0.5,0.56,5.0,0.56
RC1_10_3.txt,10.0,0.14,0.64,5.0,0.68
C1_8_1.txt,10.0,0.6,0.6,11.0,0.4
RC1_2_8.txt,40.0,0.46,0.22,15.0,0.44
RC1_10_5.txt,10.0,0.16,0.44,5.0,0.72
RC1_6_5.txt,10.0,0.44,0.76,5.0,0.26
C2_2_6.txt,12.0,0.32,0.52,41.0,0.6
RC2_6_3.txt,10.0,0.52,0.56,5.0,0.18
C2_8_8.txt,16.0,0.72,0.52,5.0,0.52
RC2_4_9.txt,20.0,0.64,0.48,5.0,0.36
RC2_2_9.txt,40.0,0.38,0.24,27.0,0.44
C1_4_9.txt,20.0,0.56,0.48,15.0,0.36
C1_4_3.txt,20.0,0.6,0.44,15.0,0.36
C1_2_8.txt,10.0,0.1,0.36,25.0,0.46
R2_8_8.txt,10.0,0.42,0.68,5.0,0.48
C2_10_9.txt,10.0,0.64,0.48,5.0,0.44
RC2_10_5.txt,10.0,0.44,0.52,5.0,0.76
C1_10_10.txt,10.0,0.68,0.52,5.0,0.32
R1_6_9.txt,20.0,0.6,0.68,5.0,0.5
R1_10_10.txt,10.0,0.16,0.52,5.0,0.68
C1_4_5.txt,10.0,0.18,0.44,23.0,0.5
R1_10_3.txt,10.0,0.76,0.72,5.0,0.6
R2_2_7.txt,14.0,0.2,0.48,41.0,0.48
R2_2_10.txt,10.0,0.36,0.3,17.0,0.56
C2_10_8.txt,10.0,0.68,0.48,5.0,0.48
RC2_2_10.txt,18.0,0.4,0.4,13.0,0.52
R1_10_7.txt,10.0,0.68,0.68,5.0,0.6
R2_10_3.txt,10.0,0.16,0.68,5.0,0.68
RC1_8_10.txt,10.0,0.56,0.52,5.0,0.48
R1_2_9.txt,40.0,0.52,0.44,13.0,0.44
