instance,gs,nc,ne,ps,xi
R106.txt,13,0.24,0.4,20,0.53
R208.txt,14,0.24,0.4,20,0.52
C207.txt,12,0.22,0.4,20,0.55
RC206.txt,13,0.24,0.4,20,0.53
R110.txt,14,0.24,0.4,20,0.52
C205.txt,11,0.22,0.4,20,0.55
RC207.txt,14,0.26,0.39,20,0.51
RC201.txt,12,0.23,0.4,20,0.54
R107.txt,14,0.24,0.4,20,0.52
R206.txt,13,0.23,0.4,20,0.53
R112.txt,14,0.24,0.39,20,0.52
RC108.txt,16,0.28,0.38,19,0.46
C107.txt,11,0.21,0.41,20,0.56
C206.txt,11,0.22,0.4,20,0.55
R210.txt,13,0.23,0.4,20,0.53
RC104.txt,16,0.28,0.38,19,0.46
C201.txt,11,0.22,0.4,20,0.56
R103.txt,13,0.24,0.4,20,0.52
RC208.txt,15,0.27,0.39,20,0.49
RC202.txt,14,0.25,0.39,20,0.51
R102.txt,13,0.23,0.4,20,0.53
R209.txt,13,0.23,0.4,20,0.54
C103.txt,11,0.22,0.4,20,0.55
R201.txt,12,0.22,0.4,20,0.55
R111.txt,14,0.24,0.4,20,0.52
C104.txt,12,0.22,0.4,20,0.55
RC101.txt,13,0.24,0.4,20,0.53
C202.txt,12,0.23,0.4,20,0.54
C208.txt,12,0.22,0.4,20,0.55
C109.txt,11,0.21,0.4,20,0.56
C105.txt,11,0.21,0.41,20,0.56
R108.txt,14,0.25,0.39,20,0.52
R205.txt,12,0.22,0.4,20,0.55
C203.txt,13,0.24,0.4,20,0.53
R211.txt,13,0.24,0.4,20,0.53
R202.txt,13,0.23,0.4,20,0.54
R203.txt,13,0.24,0.4,20,0.53
RC102.txt,16,0.27,0.39,20,0.48
C101.txt,11,0.21,0.41,20,0.56
RC204.txt,15,0.27,0.39,20,0.49
RC205.txt,13,0.24,0.4,20,0.52
RC103.txt,16,0.27,0.38,19,0.47
RC105.txt,15,0.26,0.39,20,0.49
RC203.txt,15,0.26,0.39,20,0.5
C102.txt,11,0.21,0.4,20,0.56
R101.txt,11,0.22,0.4,20,0.55
C106.txt,11,0.21,0.41,20,0.56
RC107.txt,16,0.27,0.38,19,0.47
R104.txt,14,0.24,0.39,20,0.52
C204.txt,14,0.25,0.39,20,0.52
R109.txt,13,0.23,0.4,20,0.53
R207.txt,13,0.24,0.4,20,0.53
C108.txt,11,0.21,0.4,20,0.56
R204.txt,13,0.24,0.4,20,0.52
RC106.txt,14,0.25,0.39,20,0.51
R105.txt,12,0.22,0.4,20,0.55
C1_4_4.txt,17,0.31,0.39,15,0.37
C1_10_6.txt,12,0.45,0.62,7,0.42
R1_4_8.txt,10,0.43,0.64,7,0.44
C2_10_7.txt,10,0.61,0.52,4,0.43
C1_4_1.txt,11,0.22,0.4,20,0.55
R1_6_10.txt,10,0.4,0.64,6,0.44
RC2_4_2.txt,14,0.35,0.39,13,0.39
RC2_4_4.txt,13,0.36,0.4,13,0.4
C2_10_5.txt,9,0.64,0.51,4,0.43
RC1_4_2.txt,12,0.46,0.64,8,0.42
C2_2_9.txt,16,0.28,0.38,19,0.48
RC1_2_7.txt,17,0.29,0.38,18,0.42
C1_2_3.txt,16,0.27,0.39,19,0.47
RC2_4_5.txt,13,0.36,0.39,13,0.42
C1_6_5.txt,14,0.31,0.41,15,0.41
RC1_4_7.txt,12,0.46,0.63,8,0.42
R1_10_2.txt,9,0.39,0.65,6,0.45
RC2_6_4.txt,12,0.48,0.56,7,0.39
